Date,Category,Description,Amount
2026-01-05,Food,Grocery store,85.50
2026-01-08,Transport,Uber ride,12.00
2026-01-10,Food,Restaurant dinner,45.00
2026-01-15,Utilities,Electricity bill,110.00
2026-01-18,Entertainment,Netflix subscription,15.99
2026-01-20,Food,Coffee shop,8.75
2026-01-22,Transport,Gas station,60.00
2026-01-25,Health,Gym membership,30.00
2026-02-01,Food,Grocery store,92.30
2026-02-05,Entertainment,Movie tickets,28.00
2026-02-08,Transport,Uber ride,15.50
2026-02-10,Utilities,Internet bill,65.00
2026-02-14,Food,Valentine dinner,120.00
2026-02-18,Health,Pharmacy,22.40
2026-02-20,Food,Coffee shop,9.25
